id,name,url,price,promo_price,brand
120677,Спагетти 3 Glocken 1кг,https://online.metro-cc.ru/products/spagetti-3-glocken-1-kg,,529.0,3 GLOCKEN
571695,"Макаронные изделия Шебекинские перья №343, 450г",https://online.metro-cc.ru/products/shebekinskie-perya-450-g,76.9,64.9,ШЕБЕКИНСКИЕ
619377,"aro Спагетти №3, 400г",https://online.metro-cc.ru/products/400g-spagetti-aro-3,,22.5,ARO
603204740,"Макароны Barilla Лингвини ригате высший сорт, 450г",https://online.metro-cc.ru/products/makarony-barilla-lingvini-rigate-vysshiy-sort-450g,299.0,159.01,BARILLA
614537,"Макаронные изделия Barilla Fusilli 5 Злаков, 450г",https://online.metro-cc.ru/products/fuzilli-barilla-5-zlakov-450g,223.0,129.0,BARILLA
614456,"Макаронные изделия Barilla Penne Rigate 5 Злаков, 450г",https://online.metro-cc.ru/products/penne-rigate-barilla-5-zlakov-450g,223.0,129.0,BARILLA
299555349,"METRO Chef Макароны ракушки рифленые, 450г",https://online.metro-cc.ru/products/450g-makarony-metro-chef-rakushki-riflenye,59.9,49.9,METRO CHEF
454655,"Макаронные изделия De Cecco тальятелле со шпинатом, 250г",https://online.metro-cc.ru/products/de-cecco-tagliatelle-shpinat250g,309.0,209.0,DE CECCO
180958,"Вермишель Шебекинские №100/111, 450г",https://online.metro-cc.ru/products/vermishel-shebekinskie-100-111-450g,76.9,64.9,ШЕБЕКИНСКИЕ
256118,"Макаронные изделия De Cecco ореккьетте, 500г",https://online.metro-cc.ru/products/pasta-de-cecco-orecchiette-500g,299.0,199.0,DE CECCO
379122,"Макаронные изделия De Cecco паккери, 500г",https://online.metro-cc.ru/products/de-cecco-paccheri-125-500g,389.0,269.01,DE CECCO
1607704,"Макароны Federici спиральки без глютена, 400г",https://online.metro-cc.ru/products/makarony-federici-spiralki-bez-glyutena-400g,283.0,189.0,FEDERICI
635936,"Макаронные изделия Maltagliati 002 спагетти тонкие, 450г",https://online.metro-cc.ru/products/450g-mak-izd-maltagliati-002-spagetti-tonkie,106.0,79.9,MALTAGLIATI
299555354,"METRO Chef Макароны рожки рифленые, 450г",https://online.metro-cc.ru/products/450g-makarony-metro-chef-rozhki-riflenye,59.9,49.9,METRO CHEF
180359,"Макаронные изделия 3 Glocken звездочки мелкие, 250г",https://online.metro-cc.ru/products/3-glocken-melkie-zvezdochki-250g,159.01,99.9,3 GLOCKEN
619742,"aro Пружинки рифленые №51, 400г",https://online.metro-cc.ru/products/400g-pruzhinki-aro-riflenye-51,,22.5,ARO
603140141,"Макароны Grand di Pasta Фузилли высшего сорта, 450г",https://online.metro-cc.ru/products/450g-makarony-grand-di-pasta-fuzilli-gruppa-a-vs,100.9,66.9,GRAND DI PASTA
299618214,"METRO Chef Макароны перья рифленые, 450г",https://online.metro-cc.ru/products/450g-makarony-metro-chef-perya-riflenye,59.9,49.9,METRO CHEF
620267,"aro Вермишель паутинка №96, 400 г",https://online.metro-cc.ru/products/400g-vermishel-aro-pautinka-96,,22.5,ARO
603140356,"Макароны Grand di Pasta Кампанелле высшего сорта, 450г",https://online.metro-cc.ru/products/450g-makarony-grand-di-pasta-kampanelle-gruppa-a-vs,105.0,66.9,GRAND DI PASTA
603219672,"Макароны Maltagliati вермишель высший сорт, 450г",https://online.metro-cc.ru/products/450g-makarony-maltagliati-vermishel-gruppa-a-vs,107.0,79.9,MALTAGLIATI
391960,"Макаронные изделия Makfa Гнезда тальятелле, 450г",https://online.metro-cc.ru/products/makfa-gnezda-talyatelle-450g,124.0,88.9,MAKFA
568731,"Макаронные изделия Makfa рожки гладкие, 450г",https://online.metro-cc.ru/products/makfa-rozhki-gladkie-450-g,74.9,49.9,MAKFA
614723,"Макаронные изделия Barilla Spaghetti 5 Злаков, 450г",https://online.metro-cc.ru/products/spaggeti-barilla-5-zlakov-450g,223.0,129.0,BARILLA
245563,"Макаронные изделия De Cecco феттуччине, 250г",https://online.metro-cc.ru/products/de-cecco-fettuccine-250g,309.0,209.0,DE CECCO
147434,"Макаронные изделия 3 Glocken алфавит, 250г",https://online.metro-cc.ru/products/3-glocken-alfavit-250g,159.01,99.9,3 GLOCKEN
601741133,"Макароны Makfa Пиколетти мини спирали, 450г",https://online.metro-cc.ru/products/450g-makarony-makfa-pikolletti-mini-spirali,74.9,49.9,MAKFA
601739433,"Макароны Makfa Бантики, 400г",https://online.metro-cc.ru/products/400g-makarony-makfa-bantiki,79.9,56.9,MAKFA
635716,"Макаронные изделия Maltagliati 078 спираль, 450г",https://online.metro-cc.ru/products/450g-mak-izd-maltagliati-078-spiral,106.0,79.9,MALTAGLIATI
539177,"Макаронные изделия Barilla Pappardelle Uovo яичные, 250г",https://online.metro-cc.ru/products/barilla-papardelle-yaichnye-250g,349.0,259.0,BARILLA
635816,"Макаронные изделия Maltagliati 004 спагетти тонкие, 450г",https://online.metro-cc.ru/products/450g-mak-izd-maltagliati-004-spagetti-klassich,106.0,79.9,MALTAGLIATI
472496,"Макаронные изделия De Cecco спагеттини, 500г",https://online.metro-cc.ru/products/spagettini-de-cecco-500g-611671,329.0,199.0,DE CECCO
660745,"Лапша Makfa длинная, 450г",https://online.metro-cc.ru/products/lapga-makfa-dlinnaya-450g,74.9,49.9,MAKFA
245331,"Макаронные изделия De Cecco тальятелле, 250г",https://online.metro-cc.ru/products/de-cecco-tagliatelle-alluovo-250g,309.0,209.0,DE CECCO
635556,"Макаронные изделия Maltagliati 038 рожки, 450г",https://online.metro-cc.ru/products/450g-mak-izd-maltagliati-038-rozhki,106.0,79.9,MALTAGLIATI
524456,"Спагетти Dalla Costa с чесноком и острым перцем, 500г",https://online.metro-cc.ru/products/spagetti-dalla-costa-s-chesnokom-ostrym-percem-500g,419.0,329.0,DALLA COSTA
635501,"Макаронные изделия Maltagliati 074 перья, 450г",https://online.metro-cc.ru/products/450g-mak-izd-maltagliati-074-perya,106.0,79.9,MALTAGLIATI
550291871,"Макароны Dalla Costa быстрые гонки томат-базилик, 250г",https://online.metro-cc.ru/products/makarony-dalla-costa-bystrye-gonki-tomat-bazilik-250g,229.0,199.0,DALLA COSTA
524888,"Макаронные изделия Dalla Costa любовь со шпинатом и томатами, 250г",https://online.metro-cc.ru/products/dalla-costa-lyubov-so-shpinatom-tomatami-250g,215.0,189.0,DALLA COSTA
257005690,"METRO Chef Макароны лазанья, 1кг",https://online.metro-cc.ru/products/1kg-makarony-metro-chef-lazanya,719.0,499.0,METRO CHEF
76196875,"Лапша 3 Glocken Golden-EI Короткая прямая, 350г",https://online.metro-cc.ru/products/350g-lapsha-3-glocken-gold-ei-korotkaya-pryamaya,339.0,199.0,3 GLOCKEN
524901,"Спагетти Dalla Costa нери с чернилами каракатицы, 500г",https://online.metro-cc.ru/products/spagetti-dalla-costa-neri-s-chernilami-karakaticy-500g,609.0,459.0,DALLA COSTA
550303496,"Макароны Dalla Costa ферма без добавления яиц, 250г",https://online.metro-cc.ru/products/makarony-dalla-costa-ferma-bez-dobavleniya-yaits-250g,229.0,199.0,DALLA COSTA
550528006,"Макароны Dalla Costa маленькая леди томаты, 250г",https://online.metro-cc.ru/products/makarony-dalla-costa-malenkaya-ledi-tomaty-250g,229.0,199.0,DALLA COSTA
288188104,"Макароны Rustichella d'abruzzo конкильони трис, 500г",https://online.metro-cc.ru/products/500g-makarony-rustichella-dabruzzo-konkiloni-tris,639.0,569.0,RUSTICHELLA D'ABRUZZO
288164014,"Макароны Rustichella d'abruzzo Лингуине без яиц, 500г",https://online.metro-cc.ru/products/500g-makarony-rustichella-dabruzzo-linguine-byaits,439.0,369.0,RUSTICHELLA D'ABRUZZO
626192,Лазанья De Cecco 500г,https://online.metro-cc.ru/products/500g-lazanya-de-cecco,499.0,299.0,DE CECCO
288139869,"Макароны Rustichella d'abruzzo фузилли без яиц, 500г",https://online.metro-cc.ru/products/500g-makarony-rustichella-dabruzzo-fuzilli-byaits,449.0,379.01,RUSTICHELLA D'ABRUZZO
472595,"Макаронные изделия De Cecco лингвине, 500г",https://online.metro-cc.ru/products/de-cecco-linguini-500g,329.0,199.0,DE CECCO
624837,"Ригатони De Cecco Rigatoni №24, 500г",https://online.metro-cc.ru/products/500g-rigatoni-de-cecco,329.0,219.0,DE CECCO
607442359,"Макароны Felicetti Тальятелле №90, 500г",https://online.metro-cc.ru/products/makarony-felicetti-talyatelle-90-500g,,469.0,FELICETTI
607443399,"Макароны Felicetti Лумаке ригате №173, 500г",https://online.metro-cc.ru/products/makarony-felicetti-lumake-rigate-173-500g,,309.0,FELICETTI
607442439,"Макароны Felicetti Конкилье №175, 500г",https://online.metro-cc.ru/products/makarony-felicetti-konkile-175-500g,,309.0,FELICETTI
605173238,"Макароны с сырным соусом Foody Mac&Cheese Карбонара с беконом, 143г",https://online.metro-cc.ru/products/makarony-foody-s-sousom-karbonara-s-bekonom-143g,,103.0,FOODY
607443009,"Макароны Felicetti Филини №293, 250г",https://online.metro-cc.ru/products/makarony-felicetti-filini-293-250g,,209.0,FELICETTI
601741088,"Паста по-тоскански Makfa Сегодня в меню с соусом, 340г",https://online.metro-cc.ru/products/340g-pasta-s-sousom-segodnya-v-menyu-makfa-po-toskanski,142.0,114.0,MAKFA
607442464,"Макароны Felicetti лингвини №152, 500г",https://online.metro-cc.ru/products/makarony-felicetti-lingvini-152-500g,,309.0,FELICETTI
288188109,"Макароны Rustichella d'abruzzo тальятелле без яиц, 250г",https://online.metro-cc.ru/products/250g-makarony-rustichella-dabruzzo-talyatelle-byaits,479.0,439.0,RUSTICHELLA D'ABRUZZO
570938,"Макаронные изделия Barilla Chifferi Rigati n.41 из твёрдых сортов пшеницы, 450г",https://online.metro-cc.ru/products/barilla-chifferi-rigati-450-g,125.0,89.9,BARILLA
603829713,"Макароны Barilla Fusilli Integrale цельнозерновые, 450г",https://online.metro-cc.ru/products/450g-makarony-barilla-fuzilli-integrale,223.0,119.0,BARILLA
603828258,"Макароны Barilla Integrale спагетти цельнозерновые, 450г",https://online.metro-cc.ru/products/450g-makarony-barilla-spagetti-integrale,223.0,119.0,BARILLA
256345,"Макаронные изделия De Cecco пенне ригате, 1кг",https://online.metro-cc.ru/products/de-cecco-penne-rigate-perya-41-1kg,589.0,409.0,DE CECCO
375760,"Макаронные изделия Makfa ракушки, 450г",https://online.metro-cc.ru/products/makfa-rakushki-450g,74.9,49.9,MAKFA
375963,"Макаронные изделия Makfa улитки, 450г",https://online.metro-cc.ru/products/makfa-ulitki-450g,74.9,49.9,MAKFA
551522,"Макаронные изделия Makfa спиральки экспресс, 400г",https://online.metro-cc.ru/products/spiralki-ekspress-makfa-400-g,74.9,49.9,MAKFA
603140381,"Макароны Grand di Pasta Фунгетти высшего сорта, 450г",https://online.metro-cc.ru/products/450g-makarony-grand-di-pasta-fungetti-gruppa-a-vs,109.0,66.9,GRAND DI PASTA
560394,"Макаронные изделия Federici перья рифленые №23 без глютена, 400г",https://online.metro-cc.ru/products/perya-riflenye-23-federici-bez-glyutena-400g-55315,283.0,189.0,FEDERICI
603139911,"Макароны Grand di Pasta Радиаторе высшего сорта, 400г",https://online.metro-cc.ru/products/400g-makarony-grand-di-pasta-radiatore-gruppa-a-vs,107.0,66.9,GRAND DI PASTA
215535,"Вермишель 3 Glocken Die Mag Ich мелкая, 500г",https://online.metro-cc.ru/products/vermishel-3glocken-die-mag-ich-melkaya-500g,296.0,199.0,3 GLOCKEN
603140361,"Макароны Grand di Pasta Фарфалле высшего сорта, 400г",https://online.metro-cc.ru/products/400g-makarony-grand-di-pasta-farfalle-gruppa-a-vs,96.9,66.9,GRAND DI PASTA
642955,"Макаронные изделия Makfa Капеллини, 450г",https://online.metro-cc.ru/products/kapellini-makfa-450g,74.9,49.9,MAKFA
401629,"Лапша Роллтон Яичная классическая, 400г",https://online.metro-cc.ru/products/lapsha-rollton-yaichnaya-klassicheskaya-400-g,90.9,74.9,РОЛЛТОН
541780,"Макароны Makfa Пикколетти Полубублики, 450г",https://online.metro-cc.ru/products/makfa-pikkoletti-polububliki-450g,74.9,56.9,MAKFA
452182,"Трубочки 3 Glocken Genuss Pur короткие, 1кг",https://online.metro-cc.ru/products/trubochki-korotkie-3-glocken-genuss-pur-1kg,,529.0,3 GLOCKEN
256020,"Макаронные изделия De Cecco спаггеттони квадрати, 500г",https://online.metro-cc.ru/products/de-cecco-spagettoni-kvadratti-500g,299.0,199.0,DE CECCO
392060,"Макаронные изделия Makfa Гнезда капеллини, 450г",https://online.metro-cc.ru/products/makfa-gnezda-kapellini-450g,124.0,88.9,MAKFA
605173208,"Макароны с сырным соусом Foody Mac&Cheese Чеддер, 143г",https://online.metro-cc.ru/products/makarony-foody-s-sousom-chedder-143g,,103.0,FOODY
318016816,"Макароны De Cecco конкильони ригати №126, 500г",https://online.metro-cc.ru/products/500g-makarony-de-cecco-konkiloni-rigati-126,409.0,249.0,DE CECCO
603139921,"Макароны Grand di Pasta Спагетти высшего сорта, 450г",https://online.metro-cc.ru/products/450g-makarony-grand-di-pasta-spagetti-gruppa-a-vs,106.0,66.9,GRAND DI PASTA
800213,"Ризо De Cecco №74, 500г",https://online.metro-cc.ru/products/rizo-de-cecco-74-500g,359.0,209.0,DE CECCO
601741118,"Паста по-лигурийски Makfa Сегодня в меню с соусом, 340г",https://online.metro-cc.ru/products/340g-pasta-s-sousom-segodnya-v-menyu-makfa-po-liguriyski,144.0,114.0,MAKFA
605171588,"Макароны с сырным соусом Foody Mac&Cheese Пармезан, 143г",https://online.metro-cc.ru/products/makarony-foody-s-sousom-parmezan-klassicheskiy-143g,,103.0,FOODY
130672,"Макаронные изделия De Cecco спагеттини, 500г x 2 шт",https://online.metro-cc.ru/products/art_209322,,598.0,DE CECCO
150370,"Макаронные изделия De Cecco тальятелле со шпинатом, 250г x 2 шт",https://online.metro-cc.ru/products/makarony-de-cecco-tagliatelle-shpinat250g,,598.0,DE CECCO
566042,"Макаронные изделия Barilla Maccheroni n.44 из твердых сортов пшеницы, 450г",https://online.metro-cc.ru/products/barilla-makkeroni-450g,125.0,89.9,BARILLA
601504992,"Макароны Makfa цветочки группа А высший сорт, 450г",https://online.metro-cc.ru/products/450g-makarony-makfa-tsvetochki-gruppa-a-vs,74.9,56.9,MAKFA
